Date,Rating
1911,5.7
1915,6.2
1916,7.7
1920,4.3
1925,7.85
1927,8.3
1929,6.433333333333334
1930,7.3
1931,7.8
1932,6.4
1933,6.633333333333333
1934,8.1
1935,7.7
1936,8.5
1937,7.6
1938,7.3999999999999995
1939,8.149999999999999
1940,6.95
1941,7.7
1942,7.9
1943,6.9
1944,6.4
1945,7.425
1946,7.7
1947,7.366666666666667
1948,7.55
1949,7.1
1950,6.9
1951,7.45
1952,7.42
1953,6.9
1954,7.485714285714286
1955,7.6
1956,7.025
1957,7.925
1958,7.9
1959,6.916666666666667
1960,7.390000000000001
1961,7.65
1962,7.68
1963,7.044444444444444
1964,7.628571428571428
1965,7.415384615384616
1966,7.5200000000000005
1967,7.425
1968,7.3
1969,6.513333333333334
1970,6.945454545454546
1971,6.786666666666666
1972,7.758333333333333
1973,7.05
1974,7.394117647058824
1975,7.477777777777778
1976,7.253846153846154
1977,6.705555555555556
1978,7.02
1979,6.752941176470588
1980,6.828125
1981,6.4837837837837835
1982,6.836666666666667
1983,6.71304347826087
1984,6.940540540540541
1985,6.681818181818182
1986,6.419444444444444
1987,6.827777777777778
1988,6.594285714285714
1989,6.6625
1990,6.89375
1991,6.610526315789474
1992,6.897560975609756
1993,6.784905660377359
1994,6.598181818181818
1995,6.544303797468355
1996,6.456701030927834
1997,6.503389830508475
1998,6.449612403100775
1999,6.469230769230769
2000,6.290909090909091
2001,6.387931034482759
2002,6.297448979591836
2003,6.270348837209302
2004,6.4919597989949756
2005,6.398672566371681
2006,6.455701754385966
2007,6.496116504854369
2008,6.324267782426778
2009,6.219574468085106
2010,6.302192982456141
2011,6.331623931623931
2012,6.253554502369668
2013,6.378333333333333
2014,6.226591760299626
2015,6.160077519379845
2016,6.429059829059829
2017,6.553684210526316
2018,6.33069306930693
2019,6.512068965517241
2020,6.304819277108433
2021,6.365306122448979
2022,6.6
2023,6.726530612244899
